volcano,start,stop,duration,confirmed,vei,landform,type,summit_ft,underwater
Veniaminof,2005-01-04,2005-02-14,41,TRUE,2,Composite,Stratovolcano,8225,FALSE
St. Helens,2004-10-01,2008-01-27,1213,TRUE,2,Composite,Stratovolcano,8363,FALSE
Anatahan,2004-04-12,2005-09-03,509,TRUE,3,Composite,Stratovolcano,2592,FALSE
Shishaldin,2004-02-17,2004-07-16,150,TRUE,2,Composite,Stratovolcano,9373,FALSE
Veniaminof,2004-02-16,2004-09-05,202,TRUE,2,Composite,Stratovolcano,8225,FALSE
Anatahan,2003-05-10,2003-07-12,63,TRUE,3,Composite,Stratovolcano,2592,FALSE
Veniaminof,2002-09-24,2003-03-23,180,TRUE,1,Composite,Stratovolcano,8225,FALSE
Wrangell,2002-08-01,2002-08-02,1,FALSE,NA,Shield,Shield,14035,FALSE
Ahyi,2001-04-24,2001-04-25,1,TRUE,0,Composite,Stratovolcano,-246,TRUE
Cleveland,2001-02-02,2001-04-15,72,TRUE,3,Composite,Stratovolcano,5676,FALSE
NW Rota-1,NA,NA,NA,NA,NA,Composite,Stratovolcano,-1696,TRUE
Vailulu'u,NA,NA,NA,NA,NA,Shield,Shield,-1942,TRUE
Chiginagak,NA,NA,NA,NA,NA,Composite,Stratovolcano,7287,FALSE
Amukta,NA,NA,NA,NA,NA,Composite,Stratovolcano,3497,FALSE
Gareloi,NA,NA,NA,NA,NA,Composite,Stratovolcano,5161,FALSE
North Gorda Ridge Segment,NA,NA,NA,NA,NA,Cluster,Fissure vent,-9843,TRUE
Kama'ehuakanaloa,NA,NA,NA,NA,NA,Shield,Shield,-3199,TRUE
Makushin,NA,NA,NA,NA,NA,Composite,Stratovolcano,5906,FALSE
Seguam,NA,NA,NA,NA,NA,Composite,Stratovolcano,3458,FALSE
Akutan,NA,NA,NA,NA,NA,Composite,Stratovolcano,4275,FALSE
Spurr,NA,NA,NA,NA,NA,Composite,Stratovolcano,11070,FALSE
Westdahl,NA,NA,NA,NA,NA,Composite,Stratovolcano,5128,FALSE
Kiska,NA,NA,NA,NA,NA,Composite,Stratovolcano,4003,FALSE
Carlisle,NA,NA,NA,NA,NA,Composite,Stratovolcano,5315,FALSE
Esmeralda Bank,NA,NA,NA,NA,NA,Composite,Stratovolcano,-243,TRUE
Kupreanof,NA,NA,NA,NA,NA,Composite,Stratovolcano,6217,FALSE
Fukujin,NA,NA,NA,NA,NA,Composite,Stratovolcano,-712,TRUE
Ukinrek Maars,NA,NA,NA,NA,NA,Minor,Maar,299,FALSE
Kasuga 1,NA,NA,NA,NA,NA,Composite,Stratovolcano,-1962,TRUE
Trident,NA,NA,NA,NA,NA,Composite,Stratovolcano,6115,FALSE
Vsevidof,NA,NA,NA,NA,NA,Composite,Stratovolcano,7051,FALSE
Kaena,NA,NA,NA,NA,NA,Shield,Shield,-3937,TRUE
Iliamna,NA,NA,NA,NA,NA,Composite,Stratovolcano,10016,FALSE
Martin,NA,NA,NA,NA,NA,Composite,Stratovolcano,6112,FALSE
Farallon de Pájaros,NA,NA,NA,NA,NA,Composite,Stratovolcano,1106,FALSE
Mageik,NA,NA,NA,NA,NA,Composite,Stratovolcano,7103,FALSE
St. Paul Island,NA,NA,NA,NA,NA,Shield,Shield,666,FALSE
Aniakchak,NA,NA,NA,NA,NA,Caldera,Caldera,4400,FALSE
Yunaska,NA,NA,NA,NA,NA,Shield,Shield,1804,FALSE
Kagamil,NA,NA,NA,NA,NA,Composite,Stratovolcano,2930,FALSE
Asunción,NA,NA,NA,NA,NA,Composite,Stratovolcano,2812,FALSE
Agrigan,NA,NA,NA,NA,NA,Composite,Stratovolcano,3166,FALSE
Lassen Volcanic Center,NA,NA,NA,NA,NA,Composite,Stratovolcano,10456,FALSE
Tanaga,NA,NA,NA,NA,NA,Composite,Stratovolcano,5925,FALSE
Katmai,NA,NA,NA,NA,NA,Composite,Stratovolcano,6716,FALSE
Novarupta,NA,NA,NA,NA,NA,Caldera,Caldera,2759,FALSE
Medicine Lake,NA,NA,NA,NA,NA,Shield,Shield,7913,FALSE
Rainier,NA,NA,NA,NA,NA,Composite,Stratovolcano,14409,FALSE
